areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-06-24,133070,1274,14707
E92000001,England,nation,2021-06-23,133048,1255,14397
E92000001,England,nation,2021-06-22,133042,1301,13218
E92000001,England,nation,2021-06-21,133030,1290,12406
E92000001,England,nation,2021-06-20,133019,1168,8008
E92000001,England,nation,2021-06-19,133000,1143,6940
E92000001,England,nation,2021-06-18,132983,1170,8506
E92000001,England,nation,2021-06-17,132969,1122,9199
E92000001,England,nation,2021-06-16,132962,1057,9154
E92000001,England,nation,2021-06-15,132950,1030,8867
E92000001,England,nation,2021-06-14,132935,993,8688
E92000001,England,nation,2021-06-13,132924,947,5909
E92000001,England,nation,2021-06-12,132915,915,5257
E92000001,England,nation,2021-06-11,132905,884,6336
E92000001,England,nation,2021-06-10,132894,906,6528
E92000001,England,nation,2021-06-09,132878,876,6719
E92000001,England,nation,2021-06-08,132864,879,6428
E92000001,England,nation,2021-06-07,132851,860,6595
E92000001,England,nation,2021-06-06,132846,807,4611
E92000001,England,nation,2021-06-05,132834,782,3860
E92000001,England,nation,2021-06-04,132830,805,4737
E92000001,England,nation,2021-06-03,132817,779,4973
E92000001,England,nation,2021-06-02,132803,801,4917
E92000001,England,nation,2021-06-01,132793,776,4334
E92000001,England,nation,2021-05-31,132784,773,3064
E92000001,England,nation,2021-05-30,132774,755,2533
E92000001,England,nation,2021-05-29,132767,748,2392
E92000001,England,nation,2021-05-28,132758,743,2826
E92000001,England,nation,2021-05-27,132746,742,2962
E92000001,England,nation,2021-05-26,132738,745,3068
E92000001,England,nation,2021-05-25,132726,765,2690
E92000001,England,nation,2021-05-24,132719,797,2618
E92000001,England,nation,2021-05-23,132706,756,1842
E92000001,England,nation,2021-05-22,132692,730,1536
E92000001,England,nation,2021-05-21,132689,766,1800
E92000001,England,nation,2021-05-20,132673,749,1914
E92000001,England,nation,2021-05-19,132667,757,2174
E92000001,England,nation,2021-05-18,132664,749,2141
E92000001,England,nation,2021-05-17,132655,798,2244
E92000001,England,nation,2021-05-16,132644,801,1522
E92000001,England,nation,2021-05-15,132634,810,1261
E92000001,England,nation,2021-05-14,132621,818,1459
E92000001,England,nation,2021-05-13,132612,845,1655
E92000001,England,nation,2021-05-12,132602,907,1768
E92000001,England,nation,2021-05-11,132589,921,1745
E92000001,England,nation,2021-05-10,132570,944,2176
E92000001,England,nation,2021-05-09,132563,933,1849
E92000001,England,nation,2021-05-08,132552,948,1203
E92000001,England,nation,2021-05-07,132535,973,1561
E92000001,England,nation,2021-05-06,132520,976,1807
E92000001,England,nation,2021-05-05,132506,1032,2041
E92000001,England,nation,2021-05-04,132486,1093,2044
E92000001,England,nation,2021-05-03,132472,1096,1695
E92000001,England,nation,2021-05-02,132455,1082,1214
E92000001,England,nation,2021-05-01,132440,1071,1129
E92000001,England,nation,2021-04-30,132427,1161,1412
E92000001,England,nation,2021-04-29,132411,1235,1763
E92000001,England,nation,2021-04-28,132396,1278,2018
E92000001,England,nation,2021-04-27,132377,1310,1693
E92000001,England,nation,2021-04-26,132354,1393,2092
E92000001,England,nation,2021-04-25,132335,1377,1774
E92000001,England,nation,2021-04-24,132314,1401,1204
E92000001,England,nation,2021-04-23,132295,1478,1580
E92000001,England,nation,2021-04-22,132272,1523,1885
E92000001,England,nation,2021-04-21,132244,1609,2128
E92000001,England,nation,2021-04-20,132219,1649,1941
E92000001,England,nation,2021-04-19,132189,1732,2130
E92000001,England,nation,2021-04-18,132172,1691,2129
E92000001,England,nation,2021-04-17,132145,1735,1309
E92000001,England,nation,2021-04-16,132111,1844,1810
E92000001,England,nation,2021-04-15,132083,1885,1804
E92000001,England,nation,2021-04-14,132047,1972,1945
E92000001,England,nation,2021-04-13,132022,2057,1909
E92000001,England,nation,2021-04-12,131985,2108,2235
E92000001,England,nation,2021-04-11,131950,2096,1902
E92000001,England,nation,2021-04-10,131918,2190,1890
E92000001,England,nation,2021-04-09,131882,2321,2314
E92000001,England,nation,2021-04-08,131850,2382,2482
E92000001,England,nation,2021-04-07,131799,2486,2590
E92000001,England,nation,2021-04-06,131762,2588,2562
E92000001,England,nation,2021-04-05,131725,2680,2190
E92000001,England,nation,2021-04-04,131690,2672,1923
E92000001,England,nation,2021-04-03,131640,2677,2012
E92000001,England,nation,2021-04-02,131608,2784,2127
E92000001,England,nation,2021-04-01,131570,2928,2866
E92000001,England,nation,2021-03-31,131516,3084,3147
E92000001,England,nation,2021-03-30,131452,3283,2956
E92000001,England,nation,2021-03-29,131404,3466,3197
E92000001,England,nation,2021-03-28,131349,3438,4102
E92000001,England,nation,2021-03-27,131307,3676,2947
E92000001,England,nation,2021-03-26,131252,3712,3627
E92000001,England,nation,2021-03-25,131191,3763,4451
E92000001,England,nation,2021-03-24,131124,4005,5116
E92000001,England,nation,2021-03-23,131066,4245,4345
E92000001,England,nation,2021-03-22,130984,4501,5149
E92000001,England,nation,2021-03-21,130898,4492,4519
E92000001,England,nation,2021-03-20,130792,4589,3371
E92000001,England,nation,2021-03-19,130705,4841,4143
E92000001,England,nation,2021-03-18,130625,5083,4528
E92000001,England,nation,2021-03-17,130540,5397,4849
E92000001,England,nation,2021-03-16,130436,5664,4742
E92000001,England,nation,2021-03-15,130342,5976,5442
E92000001,England,nation,2021-03-14,130223,6039,3586
E92000001,England,nation,2021-03-13,130111,6072,3456
E92000001,England,nation,2021-03-12,129989,6391,4619
E92000001,England,nation,2021-03-11,129873,6687,4690
E92000001,England,nation,2021-03-10,129721,6975,5014
E92000001,England,nation,2021-03-09,129587,7451,5221
E92000001,England,nation,2021-03-08,129427,7847,5573
E92000001,England,nation,2021-03-07,129262,7812,3543
E92000001,England,nation,2021-03-06,129090,8021,3708
E92000001,England,nation,2021-03-05,128912,8594,4554
E92000001,England,nation,2021-03-04,128709,9092,4798
E92000001,England,nation,2021-03-03,128506,9594,5104
E92000001,England,nation,2021-03-02,128321,10121,5684
E92000001,England,nation,2021-03-01,128111,10765,5896
E92000001,England,nation,2021-02-28,127861,10663,3957
E92000001,England,nation,2021-02-27,127606,11090,4105
E92000001,England,nation,2021-02-26,127343,11781,5669
E92000001,England,nation,2021-02-25,127084,12449,6619
E92000001,England,nation,2021-02-24,126781,13007,7303
E92000001,England,nation,2021-02-23,126467,13511,8143
E92000001,England,nation,2021-02-22,126135,14137,9858
E92000001,England,nation,2021-02-21,125813,14142,6800
E92000001,England,nation,2021-02-20,125458,14316,6894
E92000001,England,nation,2021-02-19,125073,15018,8884
E92000001,England,nation,2021-02-18,124685,15633,9912
E92000001,England,nation,2021-02-17,124231,16458,10028
E92000001,England,nation,2021-02-16,123795,17093,10816
E92000001,England,nation,2021-02-15,123297,17730,12471
E92000001,England,nation,2021-02-14,122750,17787,7534
E92000001,England,nation,2021-02-13,122233,17694,7743
E92000001,England,nation,2021-02-12,121724,19009,10573
E92000001,England,nation,2021-02-11,121180,19983,11232
E92000001,England,nation,2021-02-10,120593,20926,11848
E92000001,England,nation,2021-02-09,119966,22067,12245
E92000001,England,nation,2021-02-08,119339,23020,13852
E92000001,England,nation,2021-02-07,118640,22991,10160
E92000001,England,nation,2021-02-06,117977,23042,10590
E92000001,England,nation,2021-02-05,117294,24402,13980
E92000001,England,nation,2021-02-04,116525,25334,16159
E92000001,England,nation,2021-02-03,115790,26374,17412
E92000001,England,nation,2021-02-02,114924,27397,17661
E92000001,England,nation,2021-02-01,114073,28539,20112
E92000001,England,nation,2021-01-31,113182,28112,13708
E92000001,England,nation,2021-01-30,112286,28571,15004
E92000001,England,nation,2021-01-29,111364,29359,19687
E92000001,England,nation,2021-01-28,110361,30333,21842
E92000001,England,nation,2021-01-27,109252,30846,23238
E92000001,England,nation,2021-01-26,108148,32337,24434
E92000001,England,nation,2021-01-25,107104,32938,27112
E92000001,England,nation,2021-01-24,105957,32907,15455
E92000001,England,nation,2021-01-23,104876,32614,19873
E92000001,England,nation,2021-01-22,103731,33412,26908
E92000001,England,nation,2021-01-21,102545,33235,28753
E92000001,England,nation,2021-01-20,101343,33886,31744
